   14   24   30    1   14     /SILICON            /GCR PROJECT      
--------------------------------------------------------------------------------
   8.00000   8.34783   8.69565   9.04348   9.39130   9.73913  10.08696  10.43478
  10.78261  11.13043  11.47826  11.82609  12.17391  12.52174  12.86957  13.21739
  13.56522  13.91304  14.26087  14.60870  14.95652  15.30435  15.65217  16.00000
  -0.69897  -0.53086  -0.36276  -0.19465  -0.02655   0.14156   0.30966   0.47777
   0.64587   0.81398   0.98209   1.15019   1.31830   1.48640   1.65451   1.82261
   1.99072   2.15882   2.32693   2.49504   2.66314   2.83125   2.99935   3.16746
   3.33556   3.50367   3.67177   3.83988   4.00799   4.17609
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 18/03/13
 -21.69557 -21.40648 -21.07395 -20.69720 -20.29252 -19.89416 -19.54691 -19.28263
 -19.79869 -19.56037 -19.34942 -19.16243 -18.99524 -18.84370 -18.70367 -18.57125
 -18.44265 -18.31443 -18.18426 -18.04953 -17.90698 -17.75393 -17.58625 -17.39855
 -17.18600 -16.94136 -16.65694 -16.32896 -15.96714 -15.59918 -15.26645 -15.00254
 -16.68031 -16.43298 -16.21616 -16.02651 -15.85907 -15.70932 -15.57357 -15.44774
 -15.32782 -15.21034 -15.09140 -14.96830 -14.83944 -14.70189 -14.55271 -14.38874
 -14.20538 -13.99627 -13.75391 -13.47212 -13.15787 -12.83336 -12.53237 -12.28793
 -14.52938 -14.30960 -14.10273 -13.91378 -13.74533 -13.59796 -13.46711 -13.34979
 -13.24377 -13.14465 -13.04396 -12.93637 -12.82172 -12.69798 -12.56425 -12.41957
 -12.25885 -12.07699 -11.86860 -11.62802 -11.35960 -11.08193 -10.82555 -10.61951
 -12.76853 -12.65129 -12.51919 -12.38045 -12.24338 -12.11418 -11.99390 -11.88501
 -11.79052 -11.70860 -11.63144 -11.55071 -11.46128 -11.36191 -11.25209 -11.13005
 -10.99367 -10.83943 -10.66253 -10.45875 -10.23282 -10.00239  -9.79571  -9.63802
 -11.28339 -11.25230 -11.20225 -11.13467 -11.05230 -10.95805 -10.85628 -10.75546
 -10.66658 -10.59565 -10.53853 -10.48641 -10.43117 -10.36721 -10.29252 -10.20598
 -10.10461  -9.98632  -9.84727  -9.68230  -9.49859  -9.31415  -9.15341  -9.03972
 -10.20129 -10.18904 -10.16972 -10.14073 -10.09864 -10.04052  -9.96709  -9.88433
  -9.80616  -9.74516  -9.70084  -9.66602  -9.63315  -9.59636  -9.55240  -9.49889
  -9.43231  -9.35051  -9.25046  -9.12822  -8.98755  -8.84284  -8.71744  -8.62933
  -9.45006  -9.44528  -9.43661  -9.42204  -9.39861  -9.36276  -9.31222  -9.24906
  -9.18446  -9.13189  -9.09466  -9.06848  -9.04713  -9.02471  -8.99778  -8.96411
  -8.92118  -8.86647  -8.79707  -8.71010  -8.60500  -8.49110  -8.38810  -8.30663
  -8.92790  -8.92528  -8.92066  -8.91266  -8.89907  -8.87689  -8.84322  -8.79695
  -8.74510  -8.70067  -8.66859  -8.64665  -8.63005  -8.61422  -8.59616  -8.57350
  -8.54383  -8.50478  -8.45383  -8.38870  -8.30737  -8.21456  -8.12447  -8.04128
  -8.56444  -8.56313  -8.56081  -8.55629  -8.54776  -8.53312  -8.51061  -8.47801
  -8.43838  -8.40127  -8.37313  -8.35390  -8.33973  -8.32691  -8.31276  -8.29539
  -8.27253  -8.24161  -8.20046  -8.14749  -8.07994  -7.99956  -7.91693  -7.83319
  -8.30891  -8.30812  -8.30655  -8.30362  -8.29834  -8.28936  -8.27488  -8.25257
  -8.22340  -8.19361  -8.16943  -8.15252  -8.14033  -8.12941  -8.11734  -8.10241
  -8.08204  -8.05518  -8.02001  -7.97214  -7.91020  -7.83702  -7.76046  -7.67837
  -8.12308  -8.12249  -8.12131  -8.11937  -8.11632  -8.11118  -8.10193  -8.08733
  -8.06748  -8.04540  -8.02616  -8.01197  -8.00123  -7.99152  -7.98104  -7.96799
  -7.94926  -7.92383  -7.89055  -7.84548  -7.78664  -7.71653  -7.64261  -7.56201
  -7.98372  -7.98372  -7.98390  -7.98341  -7.98106  -7.97669  -7.97210  -7.96338
  -7.94893  -7.93466  -7.92138  -7.91008  -7.90165  -7.89306  -7.88293  -7.87102
  -7.85416  -7.83020  -7.79802  -7.75588  -7.69993  -7.63100  -7.55691  -7.47607
  -7.88236  -7.88289  -7.88384  -7.88399  -7.88179  -7.87768  -7.87593  -7.87207
  -7.86242  -7.85196  -7.84335  -7.83659  -7.82967  -7.82230  -7.81370  -7.80258
  -7.78783  -7.76686  -7.73691  -7.69643  -7.64281  -7.57628  -7.50172  -7.41906
  -7.81046  -7.80976  -7.80960  -7.80967  -7.80949  -7.80852  -7.80617  -7.80242
  -7.79743  -7.79149  -7.78524  -7.77972  -7.77530  -7.76965  -7.76224  -7.75353
  -7.74099  -7.72231  -7.69569  -7.65919  -7.60886  -7.54456  -7.47173  -7.38797
  -7.76123  -7.76070  -7.75981  -7.75891  -7.75839  -7.75829  -7.75778  -7.75561
  -7.75186  -7.74856  -7.74420  -7.73909  -7.73575  -7.73162  -7.72568  -7.71859
  -7.70864  -7.69343  -7.67060  -7.63816  -7.59255  -7.53285  -7.46203  -7.37819
  -7.72923  -7.72921  -7.72878  -7.72820  -7.72781  -7.72759  -7.72678  -7.72556
  -7.72400  -7.72139  -7.71843  -7.71543  -7.71187  -7.70834  -7.70450  -7.69886
  -7.69020  -7.67746  -7.65863  -7.62993  -7.58898  -7.53498  -7.46801  -7.38646
  -7.71532  -7.71526  -7.71518  -7.71520  -7.71545  -7.71550  -7.71385  -7.71232
  -7.71199  -7.71025  -7.70796  -7.70601  -7.70378  -7.70122  -7.69779  -7.69243
  -7.68414  -7.67299  -7.65777  -7.63370  -7.59749  -7.54823  -7.48643  -7.40893
  -7.71553  -7.71548  -7.71533  -7.71525  -7.71546  -7.71553  -7.71390  -7.71259
  -7.71265  -7.71099  -7.70860  -7.70694  -7.70567  -7.70331  -7.69947  -7.69483
