   14   24   30    1   14     /SILICON            /GCR PROJECT      
--------------------------------------------------------------------------------
   8.00000   8.34783   8.69565   9.04348   9.39130   9.73913  10.08696  10.43478
  10.78261  11.13043  11.47826  11.82609  12.17391  12.52174  12.86957  13.21739
  13.56522  13.91304  14.26087  14.60870  14.95652  15.30435  15.65217  16.00000
  -0.69897  -0.53086  -0.36276  -0.19465  -0.02655   0.14156   0.30966   0.47777
   0.64587   0.81398   0.98209   1.15019   1.31830   1.48640   1.65451   1.82261
   1.99072   2.15882   2.32693   2.49504   2.66314   2.83125   2.99935   3.16746
   3.33556   3.50367   3.67177   3.83988   4.00799   4.17609
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 15/03/13
 -14.43497 -14.43455 -14.43433 -14.43454 -14.43479 -14.43516 -14.43719 -14.44112
 -14.44718 -14.45551 -14.46171 -14.46390 -14.46436 -14.46443 -14.47150 -14.48152
 -14.68837 -14.68837 -14.68836 -14.68833 -14.68829 -14.68821 -14.68807 -14.68783
 -14.68753 -14.68723 -14.68707 -14.68722 -14.68735 -14.68756 -14.68945 -14.69327
 -14.69923 -14.70749 -14.71362 -14.71574 -14.71613 -14.71612 -14.72304 -14.73279
 -14.94053 -14.94053 -14.94052 -14.94051 -14.94048 -14.94042 -14.94033 -14.94017
 -14.93996 -14.93975 -14.93963 -14.93975 -14.93979 -14.93989 -14.94168 -14.94542
 -14.95131 -14.95953 -14.96561 -14.96769 -14.96802 -14.96796 -14.97478 -14.98434
 -15.19269 -15.19269 -15.19268 -15.19267 -15.19265 -15.19262 -15.19255 -15.19244
 -15.19230 -15.19216 -15.19206 -15.19216 -15.19214 -15.19217 -15.19388 -15.19757
 -15.20342 -15.21160 -15.21765 -15.21969 -15.22000 -15.21989 -15.22666 -15.23609
 -15.44485 -15.44485 -15.44485 -15.44484 -15.44483 -15.44480 -15.44476 -15.44468
 -15.44459 -15.44448 -15.44441 -15.44450 -15.44444 -15.44441 -15.44608 -15.44972
 -15.45554 -15.46370 -15.46972 -15.47175 -15.47203 -15.47190 -15.47863 -15.48796
 -15.69701 -15.69701 -15.69701 -15.69700 -15.69699 -15.69698 -15.69695 -15.69689
 -15.69683 -15.69676 -15.69670 -15.69678 -15.69669 -15.69663 -15.69826 -15.70188
 -15.70768 -15.71581 -15.72183 -15.72384 -15.72410 -15.72396 -15.73066 -15.73993
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 3   / DATE= 15/03/13
 -10.97365 -10.97282 -10.97151 -10.96937 -10.96607 -10.96255 -10.96250 -10.96223
 -10.95823 -10.95372 -10.94833 -10.94142 -10.93314 -10.91985 -10.89905 -10.86674
 -10.81010 -10.70711 -10.52417 -10.24098  -9.86671  -9.42561  -8.95782  -8.50497
 -11.08427 -11.08338 -11.08199 -11.07971 -11.07620 -11.07247 -11.07242 -11.07214
 -11.06789 -11.06308 -11.05745 -11.05007 -11.04057 -11.02608 -11.00364 -10.96815
 -10.90740 -10.79923 -10.61185 -10.32673  -9.95086  -9.50975  -9.04250  -8.58926
 -11.19254 -11.19152 -11.19003 -11.18775 -11.18437 -11.18074 -11.18010 -11.17918
 -11.17447 -11.16834 -11.16275 -11.15685 -11.14680 -11.13113 -11.10758 -11.07057
 -11.00884 -10.90127 -10.71920 -10.44537 -10.08251  -9.65527  -9.20036  -8.75602
 -11.28906 -11.28803 -11.28687 -11.28568 -11.28449 -11.28294 -11.27975 -11.27586
 -11.27094 -11.26195 -11.25728 -11.25657 -11.24659 -11.23424 -11.21972 -11.19272
 -11.14962 -11.08015 -10.96674 -10.79404 -10.54901 -10.23931  -9.89027  -9.51548
